Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"(1s,4s,5s,6s,9s)-6-methyl-2,8-dioxo-13-azatetracyclo[11.3.1.0¹,⁹.0⁴,⁹]heptadecan-5-yl acetate",NP0271298,C[C@H]1CC(=O)[C@]23CCCN4CCC[C@]2(C4)C(=O)C[C@@H]3[C@H]1OC(C)=O,333.43,1.98,0,5,63.68,1,0.84,8112
"(2s)-5-hydroxy-2-[(3e)-5-hydroxy-4-methylpent-3-en-1-yl]-2,7-dimethylchromene-6-carboxylic acid",NP0271244,C\C(CO)=C/CC[C@]1(C)OC2=C(C=C1)C(O)=C(C(O)=O)C(C)=C2,318.37,3.28,3,4,86.99,5,0.39,8113
"[2-(2,6-dibromo-3-methoxyphenyl)ethyl](methyl)amine",NP0271233,CNCCC1=C(Br)C=CC(OC)=C1Br,323.03,2.98,1,2,21.26,4,0.4,8114
"butyl 2-(3,5-dibromo-4-hydroxyphenyl)acetate",NP0270930,CCCCOC(=O)CC1=CC(Br)=C(O)C(Br)=C1,366.05,3.8,1,3,46.53,5,0.42,8115
"(1r,2r,3s,6s,7r,9s,10s,11s,12r,13r,14s)-11-isopropyl-12-methoxy-3,7,10-trimethyl-15-oxapentacyclo[7.5.1.0¹,⁶.0⁷,¹³.0¹⁰,¹⁴]pentadecane-2,6,9,11,14-pentol",NP0270618,CO[C@@H]1[C@H]2[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@]4(C)[C@@]1(O)C(C)C,398.5,0.16,5,7,119.61,2,1.0,8116
"9-(2h-1,3-benzodioxol-5-ylmethyl)tetracyclo[8.2.1.0³,¹².0⁶,¹¹]trideca-4,7-diene-7-carboxylic acid",NP0269900,OC(=O)C1=CC(CC2=CC=C3OCOC3=C2)C2CC3CC4C=CC1C2C34,350.41,3.67,1,3,55.76,3,0.5,8117
"(1s,4s,10r,11s,13r,16s)-1,11-dihydroxy-11-methyl-4-(prop-1-en-2-yl)-14-oxatetracyclo[8.5.1.0²,⁸.0¹³,¹⁶]hexadec-2(8)-ene-6,9,15-trione",NP0269630,CC(=C)[C@H]1CC2=C(CC(=O)C1)C(=O)[C@@H]1[C@H]3[C@@H](C[C@]1(C)O)OC(=O)[C@@]23O,346.38,0.85,2,6,100.9,1,0.63,8118
n-{2-[6-bromo-2-(2-methylbut-3-en-2-yl)-1h-indol-3-yl]ethyl}-n-methylmethanesulfonamide,NP0268885,CN(CCC1=C(NC2=CC(Br)=CC=C12)C(C)(C)C=C)S(C)(=O)=O,399.35,3.83,1,2,53.17,6,0.41,8119
"16,17-dimethoxy-5,7,11,14-tetraoxapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]henicosa-2,4(8),9,15,17,19-hexaen-21-ol",NP0268617,COC1=CC=C2C(O)C3C(COC4=CC5=C(OCO5)C=C34)OC2=C1OC,358.35,2.4,1,7,75.61,2,0.37,8120
"3-hydroxy-4-methoxy-9-methyl-9-azapentacyclo[8.8.0.0¹,⁶.0²,¹³.0¹³,¹⁸]octadeca-5,14-dien-16-one",NP0268479,COC1C=C2CCN(C)C3CCC45C=CC(=O)CC4C23C5C1O,315.41,1.55,1,4,49.77,1,0.74,8121
"(4as,4br,5r,7s,8r,10ar)-7-[(1s)-1,2-dihydroxyethyl]-5,8-dihydroxy-1,1,4a,7-tetramethyl-3,4,4b,5,6,8,10,10a-octahydrophenanthren-2-one",NP0268391,CC1(C)[C@@H]2CC=C3[C@@H](O)[C@](C)(C[C@@H](O)[C@@H]3[C@@]2(C)CCC1=O)[C@H](O)CO,352.47,1.43,4,5,97.99,2,0.85,8122
"1-{7-[3-(furan-3-yl)propanoyl]-3a,7-dimethyl-3-oxo-tetrahydro-1h-2-benzofuran-1-yl}-2-oxopropyl acetate",NP0268309,CC(=O)OC(C1OC(=O)C2(C)CCCC(C)(C12)C(=O)CCC1=COC=C1)C(C)=O,404.46,3.04,0,7,99.88,7,0.64,8123
1-formyl-8-methyl-8-azabicyclo[3.2.1]octan-3-yl (2s)-3-hydroxy-2-phenylpropanoate,NP0266675,CN1C2CCC1(CC(C2)OC(=O)[C@H](CO)C1=CC=CC=C1)C=O,317.39,1.5,1,5,66.84,5,0.56,8124
"11-hydroxy-4,9-dimethyl-10-oxa-4,15-diazahexacyclo[10.9.1.0¹,⁵.0⁷,¹².0¹⁵,²².0¹⁶,²¹]docosa-16,18,20-trien-14-one",NP0266648,CC1CC2CC3N(C)CCC33C4N(C(=O)CC24C(O)O1)C1=CC=CC=C31,354.45,1.88,1,4,53.01,0,0.67,8125
"5-ethenyl-5,11,11-trimethyl-16-oxatetracyclo[7.5.2.0¹,¹⁰.0²,⁷]hexadec-2(7)-ene-6,8,9,10-tetrol",NP0266505,CC1(C)CCCC23COC(O)(C(O)C4=C2CCC(C)(C=C)C4O)C13O,350.46,1.65,4,5,90.15,1,0.8,8126
"1,1,3,3-tetrabromopropan-2-one",NP0266169,BrC(Br)C(=O)C(Br)Br,373.66,2.79,0,1,17.07,2,0.67,8127
"(1s,3r)-3-hydroxy-3,5,5-trimethyl-4-[(3e,5e)-3-methyl-7-oxoocta-1,3,5-trien-1-ylidene]cyclohexyl acetate",NP0265588,CC(=O)O[C@H]1CC(C)(C)C(=C=C\C(C)=C\C=C\C(C)=O)[C@](C)(O)C1,332.44,3.66,1,4,63.6,4,0.55,8128
"methyl 2-[(2r,3r,4as,5r,8ar)-3-(acetyloxy)-8a-hydroperoxy-5-hydroxy-4a-methyl-8-methylidene-hexahydro-1h-naphthalen-2-yl]prop-2-enoate",NP0265301,COC(=O)C(=C)[C@H]1C[C@@]2(OO)C(=C)CC[C@@H](O)[C@]2(C)C[C@H]1OC(C)=O,354.4,2.0,2,7,102.29,4,0.67,8129
