Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"(6e)-10-methyl-15-methylidene-5,14-dioxo-4,13-dioxatricyclo[10.3.0.0³,⁶]pentadeca-6,10-dien-2-yl 2-methylbut-2-enoate",NP0288446,CC=C(C)C(=O)OC1C2OC(=O)\C2=C\CCC(C)=CC2OC(=O)C(=C)C12,358.39,2.55,0,6,78.9,2,0.45,0
"8-(acetyloxy)-4,9-dimethyl-14-methylidene-13-oxo-5,12-dioxatricyclo[9.3.0.0⁴,⁶]tetradec-9-en-2-yl 2-(hydroxymethyl)but-2-enoate",NP0158366,CC=C(CO)C(=O)OC1CC2(C)OC2CC(OC(C)=O)C(C)=CC2OC(=O)C(=C)C12,420.46,1.76,1,8,111.66,4,0.59,1
"(3ar,4r,9s,11as)-9-(acetyloxy)-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2z)-4-hydroxy-2-(hydroxymethyl)but-2-enoate",NP0284644,CC(=O)O[C@H]1C\C=C(C)\C[C@@H](OC(=O)C(\CO)=C/CO)[C@@H]2[C@@H](OC(=O)C2=C)\C=C1\C,420.46,1.53,2,8,119.36,5,0.5,2
"(3ar,4r,8s,11ar)-8-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2z)-2-(hydroxymethyl)but-2-enoate",NP0238794,C\C=C(\CO)C(=O)O[C@@H]1C\C(C)=C/[C@@H](O)C\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,362.42,1.98,2,6,93.06,3,0.5,3
"9-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2-[(acetyloxy)methyl]-4-hydroxybut-2-enoate",NP0310049,CC(=O)OCC(=CCO)C(=O)OC1CC(C)=CCC(O)C(C)=CC2OC(=O)C(=C)C12,420.46,1.53,2,8,119.36,5,0.5,4
"(1r,3s,7r,8s,9r)-9-hydroxy-1-methyl-6,10-dimethylidene-5,13-dioxo-4,14-dioxatricyclo[9.2.1.0³,⁷]tetradec-11-en-8-yl (2z)-2-methylbut-2-enoate",NP0264711,C\C=C(\C)C(=O)O[C@H]1[C@H]2[C@H](C[C@@]3(C)OC(=CC3=O)C(=C)[C@H]1O)OC(=O)C2=C,374.39,1.52,1,7,99.13,2,0.45,5
"(3aR,4R,6E,10E,11aR)-10-[(Acetyloxy)methyl]-6-formyl-2,3,3a,4,5,8,9,11a-octahydro-3-methylene-2-oxocyclodeca[b]furan-4-yl ester 2-methylbutanoic acid",NP0058462,CC[C@@H](C)C(=O)O[C@@H]1C\C(C=O)=C/CC\C(COC(C)=O)=C/[C@@H]2OC(=O)C(=C)[C@H]12,404.46,2.84,0,7,95.97,6,0.55,6
Fargesin,NP0137248,COC1=CC=C(C=C1OC)C1OCC2C1COC2C1=CC=C2OCOC2=C1,370.4,3.51,0,6,55.38,4,0.43,7
"4-[(3ar,6as)-4-(3,4-dimethoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",NP0262069,COC1=CC=C(C=C1OC)C1OC[C@@H]2[C@@H]1COC2C1=CC=C(O)C(OC)=C1,372.42,3.49,1,6,66.38,5,0.43,8
"(1r,4e,6r,7r,17r)-4-ethylidene-6,7-dimethyl-3,8-dioxo-2,9-dioxa-14-azatricyclo[9.5.1.0¹⁴,¹⁷]heptadec-11-en-7-yl acetate",NP0189431,C\C=C1/C[C@@H](C)[C@@](C)(OC(C)=O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,377.44,1.76,0,7,82.14,1,0.65,9
Acutifolidine,NP0069531,COC1=C(OC)C(OC)=C2C[C@@H]3N(C)CCC4=CC(O)=C(OC)C(C2=C1)=C34,371.43,3.18,1,6,60.39,4,0.43,10
9-Hydroxyglabratolide,NP0058451,CC(C)C(=O)O[C@H]1[C@H]2[C@@H](OC(=O)C2=C)\C=C(C)\CC\C=C(C=O)/[C@@H]1O,348.4,1.88,1,6,89.9,3,0.53,11
"(1r,2z,4r,8r,9r,11s,13s)-13-(acetyloxy)-1-hydroxy-2,11-dimethyl-7-methylidene-6-oxo-5,14-dioxatricyclo[9.2.1.0⁴,⁸]tetradec-2-en-9-yl (2r)-2-methylbutanoate",NP0236964,CC[C@@H](C)C(=O)O[C@@H]1C[C@@]2(C)C[C@H](OC(C)=O)[C@](O)(O2)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,422.47,2.19,1,8,108.36,4,0.68,12
"(1s,2s,4s,10r,14r,15r)-14-hydroxy-4,8,12-trimethyl-16-methylidene-17-oxo-3,18-dioxatricyclo[13.3.0.0²,⁴]octadeca-7,11-dien-10-yl acetate",NP0211948,CC(=O)O[C@@H]1CC(C)=CCC[C@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2[C@H](O)CC(C)=C1,390.48,3.0,1,6,85.36,1,0.64,13
"(3s,4s)-4-(2h-1,3-benzodioxol-5-ylmethyl)-3-[(7-methoxy-2h-1,3-benzodioxol-5-yl)methyl]oxolan-2-one",NP0145936,COC1=CC(C[C@H]2[C@H](CC3=CC=C4OCOC4=C3)COC2=O)=CC2=C1OCO2,384.38,2.73,0,7,72.45,5,0.38,14
"4-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-9-yl acetate",NP0218517,CC(=O)OC1CC=C(C)CC(O)C2C(OC(=O)C2=C)C=C1C,306.36,2.06,1,5,72.83,1,0.53,15
"(3ar,4r,9r,11ar)-6-formyl-9-hydroxy-10-methyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2r)-2-methylbutanoate",NP0182536,CC[C@@H](C)C(=O)O[C@@H]1C\C(C=O)=C/C[C@@H](O)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,362.42,2.27,1,6,89.9,4,0.55,16
"(9s,10s)-9-(acetyloxy)-8,8-dimethyl-2-oxo-9h,10h-pyrano[2,3-h]chromen-10-yl (2z)-2-methylbut-2-enoate",NP0211243,C\C=C(\C)C(=O)O[C@@H]1[C@H](OC(C)=O)C(C)(C)OC2=CC=C3C=CC(=O)OC3=C12,386.4,3.45,0,7,92.04,3,0.38,17
"(1r,2z,4s,8r,9r,11s)-1-ethoxy-2-(hydroxymethyl)-11-methyl-7-methylidene-6-oxo-5,14-dioxatricyclo[9.2.1.0⁴,⁸]tetradec-2-en-9-yl (2z)-2-methylbut-2-enoate",NP0259718,CCO[C@@]12CC[C@@](C)(C[C@@H](OC(=O)C(\C)=C/C)[C@@H]3[C@@H](OC(=O)C3=C)\C=C1\CO)O2,406.48,2.59,1,7,91.29,5,0.64,18
"(1s,2r,3r,4s,5s,6s,8s,9s,10r,13r,14r,16s,17s)-11-ethyl-6,16-dimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.1²,⁵.0¹,¹⁰.0³,⁸.0¹³,¹⁷]nonadecane-4,8,14-triol",NP0220771,CCN1C[C@@]2(COC)[C@H]3C[C@H]4[C@@H]1[C@@]3([C@@H]1C[C@H]3[C@H](O)[C@@H]1[C@]4(O)C[C@@H]3OC)[C@H](C[C@H]2O)OC,437.58,0.5,3,7,91.62,5,1.0,19
"14-hydroxy-1,9-dimethyl-4-methylidene-5-oxo-6,12-dioxatetracyclo[8.4.0.0³,⁷.0¹¹,¹³]tetradecan-2-yl acetate",NP0224629,CC1CC2OC(=O)C(=C)C2C(OC(C)=O)C2(C)C(O)C3OC3C12,322.36,0.82,1,6,85.36,1,0.76,20
"{7-[(3-chloro-2-hydroxy-2-methylbutanoyl)oxy]-5,6,7,7a-tetrahydro-3h-pyrrolizin-1-yl}methyl 2,3-dihydroxy-2-isopropylbutanoate",NP0249209,CC(C)C(O)(C(C)O)C(=O)OCC1=CCN2CCC(OC(=O)C(C)(O)C(C)Cl)C12,433.93,0.6,3,8,116.53,8,0.8,21
"(3as,4s,5s,9r,11ar)-5,9-dihydroxy-6-methyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2-methylbut-2-enoate",NP0176022,CC=C(C)C(=O)O[C@H]1[C@@H]2[C@H](OC(=O)C2=C)C=C[C@H](O)CC=C(C)[C@@H]1O,348.4,1.59,2,6,93.06,2,0.47,22
"8-(acetyloxy)-3,6,9-trimethylidene-2-oxo-octahydroazuleno[4,5-b]furan-4-yl 2-methylbut-2-enoate",NP0149218,CC=C(C)C(=O)OC1CC(=C)C2CC(OC(C)=O)C(=C)C2C2OC(=O)C(=C)C12,386.44,3.05,0,6,78.9,3,0.5,23
"6,10-dimethyl-3-methylidene-2,9-dioxo-3ah,4h,5h,8h,11ah-cyclodeca[b]furan-4-yl 2-(hydroxymethyl)but-2-enoate",NP0290999,CC=C(CO)C(=O)OC1CC(C)=CCC(=O)C(C)=CC2OC(=O)C(=C)C12,360.41,2.19,1,6,89.9,3,0.45,24
"(1s,2r,4s,6r,7s)-6-bromo-4-[(1s)-1-bromopropyl]-2-[(2z)-pent-2-en-4-yn-1-yl]-3,8-dioxabicyclo[5.1.1]nonane",NP0145639,CC[C@H](Br)[C@@H]1C[C@@H](Br)[C@@H]2C[C@H](O2)[C@@H](C\C=C/C#C)O1,392.13,3.82,0,2,18.46,4,0.73,25
"17-methoxy-11-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.0²,⁶.0⁸,²⁰.0¹⁴,¹⁹]icosa-1,6,8(20),14,16,18-hexaene",NP0195078,COC1=CC=C2CC3N(C)CCC4=CC5=C(OCO5)C(C2=C1)=C34,309.37,3.18,0,4,30.93,1,0.37,26
"(1s,4r,9r,10s,13s,14r)-14-hydroxy-14-(hydroxymethyl)-5,5,9-trimethyltetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-6-one",NP0176949,CC1(C)[C@@H]2CC[C@@]34C[C@H](CC[C@@H]3[C@@]2(C)CCC1=O)[C@@](O)(CO)C4,320.47,3.32,2,3,57.53,1,0.95,27
"(3ar,4r,5ar,6r,9as,9br)-6-hydroxy-5a,9-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,6h,7h,9ah,9bh-naphtho[1,2-b]furan-4-yl (2e)-2-methylbut-2-enoate",NP0229629,C\C=C(/C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](O)CC=C(C)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,346.42,2.7,1,5,72.83,2,0.6,28
"(3ar,4r,5r,11as)-4-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-5-yl (2r)-2-methylbutanoate",NP0294450,CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@@H]2[C@@H](OC(=O)C2=C)\C=C(C)\CC\C=C1/C,348.44,3.09,1,5,72.83,3,0.6,29
"1-hydroxy-2,11-dimethyl-7-methylidene-9-(2-methylpropoxy)-5,14-dioxatricyclo[9.2.1.0⁴,⁸]tetradeca-2,12-dien-6-one",NP0330467,CC(C)COC1CC2(C)OC(O)(C=C2)C(C)=CC2OC(=O)C(=C)C12,334.41,2.51,1,5,64.99,3,0.63,30
Stepharotine,NP0068179,COC1=CC2=C(C=C1OC)[C@@H]1CC3=C(CN1CC2)C(OC)=C(OC)C(O)=C3,371.43,3.08,1,6,60.39,4,0.43,31
"3-methyl-7,11-dimethylidene-12-oxo-13-oxatricyclo[8.3.0.0⁴,⁶]tridec-2-en-9-yl 4-hydroxy-2-(hydroxymethyl)but-2-enoate",NP0258121,CC1=CC2OC(=O)C(=C)C2C(CC(=C)C2CC12)OC(=O)C(CO)=CCO,360.41,1.45,2,6,93.06,4,0.5,32
"(3as,4s,4ar,7as,8s,9r,9as)-4a,8-dimethyl-9-[(3-methylbut-2-enoyl)oxy]-3-methylidene-2,5-dioxo-3ah,4h,7ah,8h,9h,9ah-azuleno[6,5-b]furan-4-yl (2z)-2-methylbut-2-enoate",NP0161104,C\C=C(\C)C(=O)O[C@H]1[C@H]2[C@H](OC(=O)C2=C)[C@H](OC(=O)C=C(C)C)[C@@H](C)[C@@H]2C=CC(=O)[C@@]12C,442.51,3.25,0,7,95.97,4,0.52,33
"(3as,4s,5r,6r,10r,11ar)-5,6-dihydroxy-6,10-dimethyl-3-methylidene-2,7-dioxo-3ah,4h,5h,10h,11h,11ah-cyclodeca[b]furan-4-yl (2z)-2-methylbut-2-enoate",NP0200890,C\C=C(\C)C(=O)O[C@H]1[C@@H]2[C@@H](C[C@@H](C)\C=C/C(=O)[C@](C)(O)[C@@H]1O)OC(=O)C2=C,378.42,1.24,2,7,110.13,2,0.55,34
"(1r,13s,15r,18r)-9,15-dimethoxy-5,7-dioxa-12-azapentacyclo[10.5.2.0¹,¹³.0²,¹⁰.0⁴,⁸]nonadeca-2,4(8),9,16-tetraen-18-ol",NP0308003,CO[C@@H]1C[C@@H]2N3C[C@H](O)[C@]2(C=C1)C1=CC2=C(OCO2)C(OC)=C1C3,331.37,1.2,1,6,60.39,2,0.56,35
"(3ar,4s,6ar,8s,9s,9as,9bs)-9-(chloromethyl)-8,9-dihydroxy-3,6-dimethylidene-2-oxo-octahydroazuleno[4,5-b]furan-4-yl 2-methylpropanoate",NP0262057,CC(C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)[C@](O)(CCl)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,384.86,1.58,2,6,93.06,3,0.68,36
"methyl 2-{6'-ethyl-2,4-dihydroxy-3',5',6',7',8',8'a-hexahydro-2'h-spiro[indole-3,1'-indolizin]-7'-yl}-3-methoxyprop-2-enoate",NP0277516,CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C(=O)NC1=CC=CC(O)=C31,400.48,2.41,2,6,88.1,4,0.55,37
"2,16-dihydroxy-5,5,9-trimethyl-14-methylidenetetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-15-one",NP0318557,CC1(C)CCCC2(C)C3CCC4C(O)C3(C(O)CC12)C(=O)C4=C,318.46,3.1,2,3,57.53,0,0.85,38
"(12s)-16,17-dimethoxy-3,5-dioxa-11-azapentacyclo[10.7.1.0²,⁶.0⁸,²⁰.0¹⁴,¹⁹]icosa-1,6,8(20),14(19),15,17-hexaene",NP0211591,COC1=CC2=C(C=C1OC)C1=C3OCOC3=CC3=C1[C@H](C2)NCC3,325.36,2.84,1,5,48.95,2,0.37,39
"(2r,3r,3ar,4s,7s,7ar)-4-(acetyloxy)-7,7a-dimethyl-4'-methylidene-2'-oxo-hexahydro-1h-spiro[indene-2,3'-oxolan]-3-yl (2e)-3-methanesulfinylprop-2-enoate",NP0262794,C[C@H]1CC[C@H](OC(C)=O)[C@@H]2[C@@H](OC(=O)\C=C\[S+](C)[O-])[C@@]3(C[C@]12C)C(=C)COC3=O,424.52,2.28,0,7,101.96,4,0.67,40
"(3as,4s,5r,11ar)-6-formyl-10-(hydroxymethyl)-5-methoxy-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2-methylpropanoate",NP0157180,CO[C@H]1[C@@H](OC(=O)C(C)C)[C@@H]2[C@H](OC(=O)C2=C)\C=C(CO)\CC\C=C1\C=O,378.42,1.5,1,7,99.13,5,0.55,41
"7,9-dihydroxy-10-methyl-3,6-dimethylidene-4-(2-methylpropoxy)-3ah,4h,5h,7h,8h,9h,11ah-cyclodeca[b]furan-2-one",NP0228542,CC(C)COC1CC(=C)C(O)CC(O)C(C)=CC2OC(=O)C(=C)C12,336.43,2.14,2,5,75.99,3,0.63,42
"6-hydroxy-5a-methyl-3,9-dimethylidene-2-oxo-octahydronaphtho[1,2-b]furan-4-yl 4-hydroxy-2-methylbut-2-enoate",NP0170914,CC(=CCO)C(=O)OC1CC2(C)C(O)CCC(=C)C2C2OC(=O)C(=C)C12,362.42,1.67,2,6,93.06,3,0.6,43
(-)-Xerophilusin I,NP0075903,CC1(C)CC[C@@H](O)[C@]23CO[C@](O)([C@@H](O)[C@H]12)[C@@]12C[C@@H](CC[C@@H]31)C(=C)C2=O,348.44,1.4,3,5,86.99,0,0.85,44
"8-hydroxy-3,6-dimethylidene-2-oxo-octahydrospiro[azuleno[4,5-b]furan-9,2'-oxiran]-4-yl 4-hydroxy-2-methylbut-2-enoate",NP0198194,CC(=CCO)C(=O)OC1CC(=C)C2CC(O)C3(CO3)C2C2OC(=O)C(=C)C12,376.41,0.66,2,7,105.59,3,0.6,45
"(1S,2R,5S,6R)-2-(5-methoxy-3,4-methylenedioxyphenyl)-6-(4-hydroxy-",NP0032862,[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1OC([H])([H])[H])[C@]1([H])OC([H])([H])[C@@]2([H])[C@@]([H])(OC([H])([H])[C@@]12[H])C1=C([H])C(OC([H])([H])[H])=C2OC([H])([H])OC2=C1[H],416.43,3.22,1,8,84.84,5,0.45,46
"2,7,16-trihydroxy-5,5,9-trimethyl-14-methylidenetetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-15-one",NP0184176,CC1(C)CC(O)CC2(C)C3CCC4C(O)C3(C(O)CC12)C(=O)C4=C,334.46,2.07,3,4,77.76,0,0.85,47
"9-(acetyloxy)-7-hydroxy-10-(hydroxymethyl)-6-methyl-3-methylidene-2-oxo-3ah,4h,7h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2-methylbut-2-enoate",NP0223800,CC=C(C)C(=O)OC1C=C(C)C(O)CC(OC(C)=O)C(CO)=CC2OC(=O)C(=C)C12,420.46,1.52,2,8,119.36,4,0.5,48
"(+)-(7S,8R,1’S,2’S,3’R)-delta8’-2’-hydroxy-5,3’,5’-trimethoxy-3,4-methylenedioxy-1’,2’,3’,4’-tetrahydro-4’-oxo-7.1’,8.3’-neolignan",NP0332327,COC1=CC(=CC2=C1OCO2)[C@@H]1[C@@H](C)[C@@]2(OC)[C@@H](O)[C@]1(CC=C)C=C(OC)C2=O,402.44,2.58,1,7,83.45,6,0.5,49
"(3ar,4r,6ar,7r,9ar,9br)-7-hydroxy-9-methyl-3,6-dimethylidene-2-oxo-3ah,4h,5h,6ah,7h,9ah,9bh-azuleno[4,5-b]furan-4-yl (2e)-4-(acetyloxy)-2-(hydroxymethyl)but-2-enoate",NP0327075,CC(=O)OC\C=C(/CO)C(=O)O[C@@H]1CC(=C)[C@@H]2[C@H](O)C=C(C)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,418.44,0.99,2,8,119.36,5,0.5,50
"5-formyl-5'-(furan-3-yl)-4-hydroxy-2-methyl-2'-oxo-2,3,4,7,8,8a-hexahydrospiro[naphthalene-1,3'-oxolan]-4a-ylmethyl acetate",NP0311633,CC1CC(O)C2(COC(C)=O)C(CCC=C2C=O)C11CC(OC1=O)C1=COC=C1,402.44,2.74,1,7,103.04,4,0.59,51
"6,10-dimethyl-3-methylidene-2,5-dioxo-3ah,4h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2,3-dimethyloxirane-2-carboxylate",NP0203501,CC1OC1(C)C(=O)OC1C2C(OC(=O)C2=C)C=C(C)CCC=C(C)C1=O,360.41,2.43,0,6,82.2,2,0.55,52
"(1s,2r,4r,5r,7r,8r,9z,11s)-8-(acetyloxy)-4-hydroxy-4,9-dimethyl-14-methylidene-13-oxo-6,12-dioxatricyclo[9.3.0.0⁵,⁷]tetradec-9-en-2-yl (2z)-2-methylbut-2-enoate",NP0246829,C\C=C(\C)C(=O)O[C@@H]1C[C@@](C)(O)[C@@H]2O[C@@H]2[C@H](OC(C)=O)\C(C)=C/[C@@H]2OC(=O)C(=C)[C@@H]12,420.46,1.76,1,8,111.66,3,0.59,53
cygnocholic acid,NP0038280,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@]([H])(O[H])[C@@]2([H])[C@]3([H])[C@]([H])(O[H])C([H])([H])[C@]4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],408.58,3.45,4,4,97.99,4,0.96,54
"4-[(1r,3as,3br,5as,7r,9ar,9bs,11ar)-3a,5a,7-trihydroxy-9a,11a-dimethyl-dodecahydro-1h-cyclopenta[a]phenanthren-1-yl]-5h-furan-2-one",NP0298155,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@H](O)CC[C@]34C)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,390.52,2.72,3,5,86.99,1,0.87,55
"(3s,3ar,4s,4ar,7ar,8r,9ar)-3,4a,8-trimethyl-2,5-dioxo-3h,3ah,4h,7ah,8h,9h,9ah-azuleno[6,5-b]furan-4-yl 2-(hydroxymethyl)prop-2-enoate",NP0320621,C[C@H]1[C@@H]2[C@@H](C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@H]2OC(=O)C(=C)CO)OC1=O,348.4,1.43,1,6,89.9,3,0.63,56
"(1r,2s,5r,6s,9s,11s,13r)-1,5,9-trimethyl-14-methylidene-15-oxo-10,16,19-trioxatetracyclo[11.3.2.1²,⁵.0⁹,¹¹]nonadecan-6-yl acetate",NP0247119,CC(=O)O[C@H]1CC[C@]2(C)O[C@H]2C[C@H]2CC[C@@](C)(OC(=O)C2=C)[C@@H]2CC[C@@]1(C)O2,392.49,3.47,0,6,74.36,1,0.82,57
"methyl 3-[2-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-7-methoxy-2,3-dihydro-1-benzofuran-5-yl]propanoate",NP0164411,COC(=O)CCC1=CC(OC)=C2OC(C(CO)C2=C1)C1=CC(OC)=C(O)C(OC)=C1,418.44,2.73,2,8,103.68,8,0.41,58
"(3ar,4r,8s,9s,11ar)-8,9-dihydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2z)-2-[(acetyloxy)methyl]but-2-enoate",NP0242508,C\C=C(\COC(C)=O)C(=O)O[C@@H]1C\C(C)=C\[C@H](O)[C@@H](O)\C(C)=C\[C@H]2OC(=O)C(=C)[C@H]12,420.46,1.52,2,8,119.36,4,0.5,59
"(1r,3s,7r,8s,9z)-10-(hydroxymethyl)-1-methyl-6-methylidene-5,13-dioxo-4,14-dioxatricyclo[9.2.1.0³,⁷]tetradeca-9,11-dien-8-yl 2-methylprop-2-enoate",NP0208954,CC(=C)C(=O)O[C@H]1\C=C(CO)/C2=CC(=O)[C@@](C)(C[C@@H]3OC(=O)C(=C)[C@@H]13)O2,360.36,1.14,1,7,99.13,3,0.42,60
"(3r,4r)-4-(4-hydroxy-3-methoxybenzoyl)-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",NP0255055,COC1=CC(C[C@@H]2[C@H](COC2=O)C(=O)C2=CC=C(O)C(OC)=C2)=CC=C1O,372.37,2.33,2,7,102.29,6,0.3,61
"(1r,2r,4s,5s,7r,8r,13r,16r,17r)-4-(acetyloxy)-11-ethyl-16-hydroxy-13-methyl-6-methylidene-11-azahexacyclo[7.7.2.1⁵,⁸.0¹,¹⁰.0²,⁸.0¹³,¹⁷]nonadecan-7-yl acetate",NP0243383,CCN1C[C@]2(C)CC[C@@H](O)[C@@]34[C@@H]2CC(C13)[C@@]12C[C@H]([C@H](C[C@@H]41)OC(C)=O)C(=C)[C@H]2OC(C)=O,443.58,2.93,1,6,76.07,3,0.85,62
sinularolide c,NP0208074,C\C1=C/CC[C@@]2(CO)O[C@H]2C[C@H]2[C@@H](OC(=O)C2=C)[C@@H](O)\C(C)=C\CC1,348.44,2.43,2,5,79.29,1,0.65,63
"(3ar,4s,11ar)-10-formyl-6-methyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (3s)-3,4-dihydroxy-2-methylidenebutanoate",NP0253949,C\C1=C/CC\C(C=O)=C/[C@H]2OC(=O)C(=C)[C@@H]2[C@H](C1)OC(=O)C(=C)[C@H](O)CO,376.41,1.16,2,7,110.13,5,0.45,64
"10-(3,4,5-trimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.0³,⁷.0¹¹,¹⁵]hexadeca-1,3(7),8-triene",NP0276525,COC1=CC(=CC(OC)=C1OC)C1C2COCC2CC2=CC3=C(OCO3)C=C12,384.43,3.39,0,6,55.38,4,0.45,65
"9,15,18-trihydroxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.1⁵,⁸.0¹,¹¹.0²,⁸]octadecan-7-one",NP0224221,CC1(C)CCC(O)C23COC(O)(CC12)C12C(O)C(CCC31)C(=C)C2=O,348.44,1.4,3,5,86.99,0,0.85,66
Eupahakonin B,NP0063626,CC1=CC[C@]2(O)[C@H]1[C@H]1OC(=O)C(=C)[C@@H]1[C@@H](CC2=C)OC(=O)C(\CO)=C\CO,376.41,0.56,3,7,113.29,4,0.5,67
Zexbrevin,NP0058688,C[C@@H]1C[C@H]2OC(=O)C(=C)[C@H]2[C@@H](C[C@@]2(C)OC1=CC2=O)OC(=O)C(C)=C,346.38,2.24,0,6,78.9,2,0.53,68
"(9r)-4,5,15,16-tetramethoxy-10-azatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]heptadeca-1(16),2(7),3,5,13(17),14-hexaene",NP0278414,COC1=CC2=C(C=C1OC)C1=C(OC)C(OC)=CC3=C1[C@@H](C2)NCC3,341.41,3.13,1,5,48.95,4,0.4,69
7R-hydroxy-14-deoxyandrographolide,NP0033766,[H]OC([H])([H])[C@]1(C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C(=C([H])[H])[C@]([H])(O[H])C([H])([H])[C@]12[H])C([H])([H])C([H])([H])C1=C([H])C([H])([H])OC1=O,350.46,1.96,3,5,86.99,4,0.75,70
"(3ar,4s,5s,11ar)-10-ethyl-6-formyl-4-hydroxy-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-5-yl 2-methylprop-2-enoate",NP0294205,CC\C1=C/[C@H]2OC(=O)C(=C)[C@@H]2[C@H](O)[C@@H](OC(=O)C(C)=C)\C(C=O)=C/CC1,360.41,2.19,1,6,89.9,4,0.45,71
"1,2-Anhydrido-4,5-dihydroniveusin A",NP0336518,C\C=C(/C)C(=O)O[C@@H]1C[C@@]2(C)O[C@](O)(C=C2)\C(CO)=C/[C@H]2OC(=O)C(=C)[C@H]12,376.41,1.32,2,7,102.29,3,0.5,72
"(3ar,4r,5r,8s,11ar)-5,8-dihydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl 3-methylbut-2-enoate",NP0266091,CC(C)=CC(=O)O[C@@H]1[C@H]2[C@H](OC(=O)C2=C)\C=C(C)/C[C@H](O)\C=C(C)/[C@H]1O,362.42,1.98,2,6,93.06,2,0.5,73
"6-hydroxy-9-isopropoxy-6,10-dimethyl-3-methylidene-2,7-dioxo-octahydrocyclodeca[b]furan-4-yl 2-methylbut-2-enoate",NP0153592,CC=C(C)C(=O)OC1CC(C)(O)C(=O)CC(OC(C)C)C(C)CC2OC(=O)C(=C)C12,422.52,2.9,1,7,99.13,4,0.7,74
